# MNE-Annotations
# orig_time : 2023-09-12 03:57:01
# onset, duration, description
2.364,0.001,DIN1
2.396281855549031,14.536765707574865,BAD_SEGMENT
84.4677980035232,1.8078496770405081,BAD_SEGMENT
150.137,0.001,DIN1
150.14000000000001,0.0,DIN1
150.14000000000001,0.0,BAD boundary
150.14000000000001,0.0,EDGE boundary
150.8882513211979,2.406553141514962,BAD_SEGMENT
202.340989,0.0,BAD_SEGMENT
210.77672812683502,5.059631238990022,BAD_SEGMENT
268.76977803875513,3.6509172049324548,BAD_SEGMENT
290.35998355842634,2.34198708162063,BAD_SEGMENT
